일시,대여소,대여건수,반납건수
2023-01-01,"1153. 발산역 1번, 9번 인근 대여소",1,0
2023-01-01,302. 경복궁역 4번출구 뒤,2,0
2023-01-01,321. KEB 하나금융그룹 명동사옥 옆,2,2
2023-01-01,393. 동대문역 8번 출구,0,2
2023-01-01,322. 명동성당 앞,4,2
2023-01-01,428. 명보사거리,3,1
2023-01-01,2608. 송파구청,2,0
2023-01-01,2621. 한성백제역 2번 출구,0,1
2023-01-01,3410.종로3가역 8번출구,7,7
2023-01-01,144. 공덕역 8번출구,0,1
2023-01-01,2919.등나무 근린공원(시립북서울미술관 앞) ,1,0
2023-01-01,857. 현대 안성타워,3,0
2023-01-01,170. DMC파크뷰자이아파트 302동 앞,3,3
2023-01-01,3569.건대병원후문,1,1
2023-01-01,179. 가좌역 4번출구 앞,1,0
2023-01-01,518. 청계천 박물관 앞,3,3
2023-01-01,4765. 동대문디자인플라자,0,2
2023-01-01,4623. 라인프랜즈이태원점 앞,2,0
2023-01-01,4761. 중부경찰서앞사거리 건너편,0,1
2023-01-01,4784. 중부경찰서앞 사거리,0,1
2023-01-01,4464. 올림픽공원 북2문,1,2
2023-01-01,4792. 퇴계로4가 교차로(중구청),3,3
2023-01-01,4580. 국회3문,2,0
2023-01-01,4029. 청소년수련관 후문,0,1
2023-01-01,4564. 63스퀘어,0,4
2023-01-01,4217. 한강공원 망원나들목,3,3
2023-01-01,249. 여의도중학교 옆,19,15
2023-01-01,4634. 이태원역 3번 출구,0,3
2023-01-01,140. 이화여대 후문,1,0
2023-01-01,825. 서빙고동 주민센터 앞,1,1
2023-01-01,204. 국회의사당역 5번출구 옆,0,2
2023-01-01,1222. 잠실새내역 5번 출구 뒤,0,2
2023-01-01,207. 여의나루역 1번출구 앞,0,2
2023-01-01,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",2,2
2023-01-01,2262. 한신16차아파트 119동 앞,1,0
2023-01-01,1149. 신방화역환승주차장,0,1
2023-01-02,"1153. 발산역 1번, 9번 인근 대여소",1,0
2023-01-02,1162. 공항초등학교건너편,1,1
2023-01-02,314. 국립현대미술관,1,0
2023-01-02,322. 명동성당 앞,2,0
2023-01-02,326. 안국역 5번출구 앞,0,2
2023-01-02,466.롯데호텔,0,2
2023-01-02,369. 광화문 시민열린마당,0,1
2023-01-02,299.여의도 순복음교회,0,1
2023-01-02,857. 현대 안성타워,1,0
2023-01-02,3544.한양대역 3번 출구,0,1
2023-01-02,4761. 중부경찰서앞사거리 건너편,0,1
2023-01-02,4778. 대신파이낸스센터,1,1
2023-01-02,4784. 중부경찰서앞 사거리,3,0
2023-01-02,4792. 퇴계로4가 교차로(중구청),1,1
2023-01-02,4796. 부산은행,2,2
2023-01-02,4634. 이태원역 3번 출구,0,1
2023-01-02,4637. 용산시티파크 101동 앞,1,1
2023-01-02,811. 녹사평역1번출구,3,0
2023-01-02,260. 여의도 마리나선착장 앞,1,0
2023-01-02,1108. 공항시장역 2번출구 뒤,0,1
2023-01-02,1124. 발산역 6번 출구 뒤,0,1
2023-01-02,1205. 종합운동장역 4번출구,0,3
2023-01-02,1222. 잠실새내역 5번 출구 뒤,1,1
2023-01-02,215. 여의도고교 앞,4,0
2023-01-02,1503. 강북구청사거리(수유역 8번출구),1,0
2023-01-02,207. 여의나루역 1번출구 앞,5,9
2023-01-02,1210. 롯데월드타워(잠실역2번출구 쪽),1,1
2023-01-02,1149. 신방화역환승주차장,1,0
2023-01-03,511. 서울숲역 5번 출구 옆,0,1
2023-01-03,829. 한강대교 북단 교차로,0,3
2023-01-03,493.홍대입구역 6번출구,3,0
2023-01-03,3552.서울숲 공영주차장앞,1,0
2023-01-03,4568. 영등포로터리,1,1
2023-01-03,1124. 발산역 6번 출구 뒤,1,1
2023-01-03,1149. 신방화역환승주차장,1,1
2023-01-04,510. 서울숲 남문 버스정류소 옆,0,1
2023-01-04,1974. 신도림2차e편한세상아파트 203동 앞,1,0
2023-01-04,321. KEB 하나금융그룹 명동사옥 옆,1,0
2023-01-04,431. 청계천 영도교,0,1
2023-01-04,352. 중앙고입구 삼거리,1,0
2023-01-04,354. 포르투갈 대사관 앞,0,1
2023-01-04,227. 양평2나들목 보행통로 입구,0,4
2023-01-04,236. 문래동자이아파트 앞,0,1
2023-01-04,181. 망원초록길 입구,0,1
2023-01-04,186. 월드컵공원,1,0
2023-01-04,630. 동대문구 보건소,1,1
2023-01-04,635. 시조사 앞,1,1
2023-01-04,272. 당산육갑문,4,0
2023-01-04,206. KBS 앞,4,4
2023-01-04,226. 샛강역 1번출구 앞,4,4
2023-01-04,207. 여의나루역 1번출구 앞,0,4
2023-01-04,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",4,0
2023-01-04,2301. 현대고등학교 건너편,3,3
2023-01-04,1231. 잠실역 6번출구,0,1
2023-01-04,502. 뚝섬유원지역 1번출구 앞,4,2
2023-01-05,514. 성수사거리 버스정류장 앞,0,1
2023-01-05,1163. 방화동강서기동대앞,1,1
2023-01-05,1452. 겸재교 진입부,1,0
2023-01-05,321. KEB 하나금융그룹 명동사옥 옆,1,1
2023-01-05,324. 신세계백화점 본점 앞,0,1
2023-01-05,327. 낙원상가 옆,1,0
2023-01-05,431. 청계천 영도교,1,1
2023-01-05,3104. e편한세상 신촌4단지 앞,0,1
2023-01-05,335. 종로3가역 15번출구 앞,1,0
2023-01-05,433. 을지로입구역 2번출구,0,1
2023-01-05,435. SK 남산빌딩,1,0
2023-01-05,3407.안국동사거리(신),2,0
2023-01-05,3412.세운상가,0,1
2023-01-05,369. 광화문 시민열린마당,1,1
2023-01-05,380. CJ제일제당 앞,2,2
2023-01-05,4611. 국제루터교회 앞,0,2
2023-01-05,4768. 서울도시건축전시관,1,0
2023-01-05,4457. 아산병원 기숙사 부근,1,0
2023-01-05,3627. 압구정나들목,1,1
2023-01-05,2262. 한신16차아파트 119동 앞,0,1
2023-01-05,1149. 신방화역환승주차장,1,1
2023-01-06,3506. 영동대교 북단,0,1
2023-01-06,1277. 성내6교,1,0
2023-01-06,1278. 송파구청 교차로,0,2
2023-01-06,326. 안국역 5번출구 앞,1,0
2023-01-06,2622. 올림픽공원역 3번출구,1,0
2023-01-06,468.웨스틴 조선호텔,0,1
2023-01-06,146. 마포역 2번출구 뒤,0,1
2023-01-06,2725.서울식물원 식물문화센터,1,0
2023-01-06,2728.마곡나루역 3번 출구,0,1
2023-01-06,171. 임광빌딩 앞,1,0
2023-01-06,204. 국회의사당역 5번출구 옆,1,1
2023-01-06,2319. 포스코사거리 서측(수협 삼성동 지점),1,0
2023-01-07,510. 서울숲 남문 버스정류소 옆,0,1
2023-01-07,1643. 태릉입구역 8번출구,1,0
2023-01-07,276. 영등포로터리2,1,1
2023-01-07,829. 한강대교 북단 교차로,0,1
2023-01-07,393. 동대문역 8번 출구,0,1
2023-01-07,353. 재동초교 앞 삼거리,1,0
2023-01-07,1197. 엠펠리체 호텔 건너편,1,1
2023-01-07,854.HID 유족동지회 앞,1,0
2023-01-07,870.노들섬 서측 앞,1,0
2023-01-07,4564. 63스퀘어,0,4
2023-01-07,4565. 영등포 신세계백화점,4,0
2023-01-07,249. 여의도중학교 옆,4,2
2023-01-07,5854. 신한금융투자 앞,0,3
2023-01-07,385. 종각역 5번출구,0,1
2023-01-07,565. 옥수역 3번출구,2,1
2023-01-08,318. 광교사거리 남측,2,0
2023-01-08,320. 을지로입구역 4번출구 앞,0,2
2023-01-08,321. KEB 하나금융그룹 명동사옥 옆,1,0
2023-01-08,430. 장충동먹자골목 앞,0,2
2023-01-08,332. 을지로2가 사거리 남측,0,2
2023-01-08,474.동대문역사문화공원역 1번출구 뒤편,2,0
2023-01-08,2429.압구정로데오역 6번출구,1,1
2023-01-08,4775. 을지로지하쇼핑센터,3,2
2023-01-08,3774. 마곡9단지 910동 상가앞,0,1
2023-01-08,6053. 중부세무서 앞,1,1
2023-01-08,140. 이화여대 후문,3,3
2023-01-08,1149. 신방화역환승주차장,1,0
2023-01-09,1150. 송정역 1번출구,0,1
2023-01-09,2525.반포쇼핑타운 2동 앞,4,0
2023-01-09,2198.사랑의병원,2,2
2023-01-09,2199.신봉천주유소 A,2,2
2023-01-09,4607. 국립중앙박물관 -용산가족공원 앞,4,2
2023-01-09,4615. 크라운호텔앞 버스정류소,0,4
2023-01-09,3804. 낙성대공원,0,2
2023-01-09,3810. 신봉천주유소 B,1,1
2023-01-09,3640. 일원1동주민센터앞 사거리,3,1
2023-01-09,4917. 일원에코파크 주차장,0,2
2023-01-09,2130. 영어마을 관악캠프,2,0
2023-01-09,207. 여의나루역 1번출구 앞,0,3
2023-01-09,2262. 한신16차아파트 119동 앞,3,0
2023-01-09,2313. 금원빌딩 앞,0,2
2023-01-09,1149. 신방화역환승주차장,1,0
2023-01-10,2504. 신사역 4번출구 뒤,1,1
2023-01-10,473.을지로4가역 9번출구,4,4
2023-01-10,474.동대문역사문화공원역 1번출구 뒤편,0,4
2023-01-10,113. 홍대입구역 2번출구 앞,1,0
2023-01-10,3407.안국동사거리(신),2,0
2023-01-10,3410.종로3가역 8번출구,4,4
2023-01-10,2527.반포중학교 앞(세화여고 맞은편),0,1
2023-01-10,4791. 명동역9번 출구,4,0
2023-01-10,4564. 63스퀘어,0,2
2023-01-10,128. 신촌역(2호선) 1번출구 옆,1,1
2023-01-10,6053. 중부세무서 앞,0,2
2023-01-10,1124. 발산역 6번 출구 뒤,0,1
2023-01-10,207. 여의나루역 1번출구 앞,2,0
2023-01-10,2213. 고속터미널역 5번출구 앞,1,0
2023-01-10,1149. 신방화역환승주차장,1,0
2023-01-11,320. 을지로입구역 4번출구 앞,4,0
2023-01-11,453. 종로오가 지하쇼핑센터 14번출구,0,2
2023-01-11,467.한국은행,0,4
2023-01-11,472.삼일교(시그니쳐 타워),1,0
2023-01-11,473.을지로4가역 9번출구,7,12
2023-01-11,474.동대문역사문화공원역 1번출구 뒤편,8,4
2023-01-11,3410.종로3가역 8번출구,2,0
2023-01-11,853.용산역 맞은편,2,2
2023-01-11,870.노들섬 서측 앞,2,2
2023-01-11,249. 여의도중학교 옆,5,0
2023-01-11,4274. 신촌 파랑고래 입구,1,1
2023-01-11,387. 훈련원공원주차장 앞,4,3
2023-01-11,1222. 잠실새내역 5번 출구 뒤,0,1
2023-01-11,1232. 잠실주공 521동 건너편,1,0
2023-01-11,207. 여의나루역 1번출구 앞,16,21
2023-01-12,3515. 서울숲 관리사무소,2,2
2023-01-12,309. 광화문역 6번출구 옆 B,2,2
2023-01-12,2504. 신사역 4번출구 뒤,1,0
2023-01-12,3407.안국동사거리(신),2,0
2023-01-12,2523.뉴코아 킴스클럽 앞,0,1
2023-01-12,2525.반포쇼핑타운 2동 앞,0,1
2023-01-12,3114.충정로역 3번 출구,0,1
2023-01-12,869.노들섬 동측 앞,1,0
2023-01-12,870.노들섬 서측 앞,4,0
2023-01-12,4753. 시청역 10번출구,1,0
2023-01-12,4217. 한강공원 망원나들목,0,1
2023-01-12,249. 여의도중학교 옆,1,1
2023-01-12,3651. 개포동역 4번출구,0,2
2023-01-12,5853. 여의도역2번출구 앞,0,2
2023-01-12,815. LIG강촌아파트 103동앞,2,0
2023-01-12,181. 망원초록길 입구,1,1
2023-01-12,182. 망원2빗물펌프장 앞,2,2
2023-01-12,272. 당산육갑문,1,0
2023-01-12,205. 산업은행 앞,1,0
2023-01-12,1222. 잠실새내역 5번 출구 뒤,1,1
2023-01-12,214. 금융감독원 앞,0,2
2023-01-12,2317. 삼성도로공원,2,0
2023-01-12,106. 합정역 7번출구 앞,2,7
2023-01-12,420. 서울시 공공자전거 상암센터,2,0
2023-01-12,1210. 롯데월드타워(잠실역2번출구 쪽),1,1
2023-01-12,502. 뚝섬유원지역 1번출구 앞,4,6
2023-01-13,3311.서울대입구역 4번 출구,0,1
2023-01-13,249. 여의도중학교 옆,0,1
2023-01-13,207. 여의나루역 1번출구 앞,1,0
2023-01-13,2222.사당역 12번출구 뒤,1,0
2023-01-14,302. 경복궁역 4번출구 뒤,1,1
2023-01-14,314. 국립현대미술관,1,0
2023-01-14,2183. 동방1교,2,2
2023-01-14,367. 독립문역 3-1번출구 ,1,0
2023-01-14,3416.동묘앞역 6번출구,1,1
2023-01-14,380. CJ제일제당 앞,1,1
2023-01-14,159. 이대역 4번 출구,1,1
2023-01-14,3117.이화여대 인문관 인근,0,2
2023-01-14,3559.성동구민종합체육센터 앞,1,0
2023-01-14,802. 한강진역 2번 출구 앞,0,1
2023-01-14,561. 서울숲역 2번출구 앞,1,2
2023-01-14,826. 서울역 서부교차로2,1,0
2023-01-15,474.동대문역사문화공원역 1번출구 뒤편,1,0
2023-01-15,475.DDP 패션몰,1,1
2023-01-15,380. CJ제일제당 앞,0,1
2023-01-15,519. 양지사거리,1,0
2023-01-15,537. 한양대후문역 부근,0,1
2023-01-15,5854. 신한금융투자 앞,0,2
2023-01-15,913. 이마트 버스정류장(서부경찰서 방면),1,1
2023-01-15,925. 불광역 2번출구,1,1
2023-01-15,207. 여의나루역 1번출구 앞,2,2
2023-01-15,2259. 잠원역 3번-4번 출구사이 ,2,0
2023-01-16,1251. 석촌역 2번출구,1,0
2023-01-16,326. 안국역 5번출구 앞,0,2
2023-01-16,453. 종로오가 지하쇼핑센터 14번출구,2,0
2023-01-16,346. 맥스타일 앞,1,2
2023-01-16,436. 이대역 5번출구,1,1
2023-01-16,380. CJ제일제당 앞,2,1
2023-01-16,1003. 해공도서관앞,1,0
2023-01-16,1222. 잠실새내역 5번 출구 뒤,0,1
2023-01-16,104. 합정역 1번출구 앞,1,0
2023-01-16,2259. 잠원역 3번-4번 출구사이 ,0,1
2023-01-17,346. 맥스타일 앞,1,1
2023-01-17,3533. 건대입구역 사거리(롯데백화점),0,2
2023-01-17,2525.반포쇼핑타운 2동 앞,1,0
2023-01-17,380. CJ제일제당 앞,1,1
2023-01-17,502. 뚝섬유원지역 1번출구 앞,2,1
2023-01-18,4826. 홈플러스 면목점,1,1
2023-01-18,630. 동대문구 보건소,0,1
2023-01-18,635. 시조사 앞,1,0
2023-01-18,272. 당산육갑문,1,1
2023-01-19,112. 극동방송국 앞,0,1
2023-01-19,2183. 동방1교,0,1
2023-01-19,471.회현사거리 남측,1,0
2023-01-19,474.동대문역사문화공원역 1번출구 뒤편,1,2
2023-01-19,485.서울역5번출구,1,0
2023-01-19,2524.반포쇼핑타운 8동 앞,2,0
2023-01-19,3774. 마곡9단지 910동 상가앞,0,1
2023-01-19,3819. 서울대벤처타운역,1,0
2023-01-19,106. 합정역 7번출구 앞,0,2
2023-01-19,1149. 신방화역환승주차장,1,0
2023-01-20,485.서울역5번출구,0,1
2023-01-20,2524.반포쇼핑타운 8동 앞,1,0
2023-01-20,2077.노들역 3번출구,0,1
2023-01-20,4792. 퇴계로4가 교차로(중구청),1,0
2023-01-20,2231. 삼성타운(삼성생명) A동 맞은편,1,0
2023-01-20,2303. 논현역 10번출구,0,1
2023-01-21,1150. 송정역 1번출구,1,1
2023-01-21,510. 서울숲 남문 버스정류소 옆,2,1
2023-01-21,2285. LH서초3단지 301동 맞은편,1,1
2023-01-21,321. KEB 하나금융그룹 명동사옥 옆,0,2
2023-01-21,336. 충무로역 6번출구 앞,3,3
2023-01-21,455. 종로6가역 버스정류장(동대문 방향),2,0
2023-01-21,471.회현사거리 남측,1,0
2023-01-21,474.동대문역사문화공원역 1번출구 뒤편,1,1
2023-01-21,2524.반포쇼핑타운 8동 앞,2,0
2023-01-21,2525.반포쇼핑타운 2동 앞,0,2
2023-01-21,857. 현대 안성타워,0,2
2023-01-21,3119.연희 브라운스톤 아파트 앞,2,2
2023-01-21,4765. 동대문디자인플라자,2,3
2023-01-21,4389. 서울숲역3번출구,1,2
2023-01-21,272. 당산육갑문,2,2
2023-01-21,106. 합정역 7번출구 앞,2,2
2023-01-21,107. 신한은행 서교동지점,2,0
2023-01-21,1149. 신방화역환승주차장,1,1
2023-01-22,301. 경복궁역 7번출구 앞,0,2
2023-01-22,3515. 서울숲 관리사무소,5,5
2023-01-22,398. 을지로3가역 3번출구,2,0
2023-01-22,336. 충무로역 6번출구 앞,0,1
2023-01-22,453. 종로오가 지하쇼핑센터 14번출구,0,1
2023-01-22,353. 재동초교 앞 삼거리,2,2
2023-01-22,371. 동대입구역 6번출구 뒤,0,1
2023-01-22,380. CJ제일제당 앞,1,0
2023-01-22,858.녹사평역3번 출구,1,1
2023-01-22,4760. 서울역 7번출구,2,2
2023-01-22,4607. 국립중앙박물관 -용산가족공원 앞,1,1
2023-01-22,4608. 국립중앙박물관 정문 앞,0,1
2023-01-22,4791. 명동역9번 출구,3,0
2023-01-22,4564. 63스퀘어,0,3
2023-01-22,249. 여의도중학교 옆,1,0
2023-01-22,4621. 남산도서관 앞,2,0
2023-01-22,4634. 이태원역 3번 출구,2,2
2023-01-22,4719. 종로문화원 건너편,1,0
2023-01-22,4180. 흑석동주민센터 입구,2,0
2023-01-22,6053. 중부세무서 앞,0,2
2023-01-22,802. 한강진역 2번 출구 앞,0,2
2023-01-22,810. 이태원지하보도,2,2
2023-01-22,825. 서빙고동 주민센터 앞,1,0
2023-01-22,215. 여의도고교 앞,2,0
2023-01-22,221. 여의도초교 앞,0,2
2023-01-22,1149. 신방화역환승주차장,1,1
2023-01-23,1447. 면목역 3번출구,1,1
2023-01-23,397. 종묘공영주차장 건너편,0,2
2023-01-23,336. 충무로역 6번출구 앞,6,0
2023-01-23,347. 동대문역사문화공원역 9번출구 앞,2,2
2023-01-23,660. 동의보감타워,1,1
2023-01-23,3533. 건대입구역 사거리(롯데백화점),0,1
2023-01-23,471.회현사거리 남측,0,2
2023-01-23,3560.성동구 견인차량 보관소 앞,1,0
2023-01-23,4564. 63스퀘어,3,0
2023-01-23,6053. 중부세무서 앞,2,4
2023-01-23,207. 여의나루역 1번출구 앞,0,3
2023-01-24,321. KEB 하나금융그룹 명동사옥 옆,2,0
2023-01-24,329. 청계2가 사거리 옆,0,2
2023-01-24,471.회현사거리 남측,1,0
2023-01-24,4791. 명동역9번 출구,3,0
2023-01-24,6053. 중부세무서 앞,0,4
2023-01-24,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),1,1
2023-01-25,334. 종로3가역 2번출구 뒤,0,2
2023-01-25,453. 종로오가 지하쇼핑센터 14번출구,2,2
2023-01-25,352. 중앙고입구 삼거리,0,3
2023-01-25,353. 재동초교 앞 삼거리,3,0
2023-01-25,6053. 중부세무서 앞,2,0
2023-01-26,2525.반포쇼핑타운 2동 앞,0,1
2023-01-26,4217. 한강공원 망원나들목,1,0
2023-01-27,3507. 어린이회관,0,1
2023-01-27,3560.성동구 견인차량 보관소 앞,1,0
2023-01-28,434. 신당 래미안 버스정류장,1,1
2023-01-28,3553.마장역3번출구,1,0
2023-01-28,613. 신설동역 10번출구 앞,0,1
2023-01-30,1251. 석촌역 2번출구,0,1
2023-01-30,347. 동대문역사문화공원역 9번출구 앞,4,1
2023-01-30,660. 동의보감타워,1,1
2023-01-30,483.남산타운아파트 버스정류장,1,1
2023-01-30,3414.종로5가역 4번출구,0,3
2023-01-30,3415.동대문역6번출구,1,1
2023-01-30,2525.반포쇼핑타운 2동 앞,1,0
2023-01-30,2262. 한신16차아파트 119동 앞,0,1
2023-01-30,1210. 롯데월드타워(잠실역2번출구 쪽),1,0
2023-01-31,321. KEB 하나금융그룹 명동사옥 옆,1,0
2023-01-31,397. 종묘공영주차장 건너편,0,2
2023-01-31,112. 극동방송국 앞,2,0
2023-01-31,347. 동대문역사문화공원역 9번출구 앞,7,4
2023-01-31,2608. 송파구청,2,0
2023-01-31,445.대한상공회의소,1,0
2023-01-31,475.DDP 패션몰,2,2
2023-01-31,298.KBS 연구동 건너편,0,2
2023-01-31,114. 홍대입구역 8번출구 앞,0,1
2023-01-31,3011.경의선(노고산동),1,0
2023-01-31,4765. 동대문디자인플라자,0,3
2023-01-31,4613. 서울갤러리아 앞,3,3
2023-01-31,4481. 올림픽공원 북2문 2,3,1
2023-01-31,4856. 올림픽공원 서1문 앞,0,4
2023-01-31,802. 한강진역 2번 출구 앞,3,3
2023-01-31,186. 월드컵공원,1,1
2023-01-31,568. 청계8가사거리 부근,3,3
2023-01-31,1333. 석관초등학교 앞,1,1
2023-01-31,2002. 노들역 1번출구,0,1
2023-01-31,207. 여의나루역 1번출구 앞,5,5
2023-01-31,2262. 한신16차아파트 119동 앞,1,0
2023-01-31,2313. 금원빌딩 앞,1,0
2023-01-31,2328. 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,0,1
2023-02-01,338. 세운스퀘어 앞,0,1
2023-02-01,341. 혜화역 3번출구 뒤,0,1
2023-02-01,342. 대학로 마로니에공원,1,0
2023-02-01,1291. 서울체육고등학교 앞,3,3
2023-02-01,474.동대문역사문화공원역 1번출구 뒤편,0,2
2023-02-01,475.DDP 패션몰,2,0
2023-02-01,3407.안국동사거리(신),1,0
2023-02-01,3410.종로3가역 8번출구,1,0
2023-02-01,4775. 을지로지하쇼핑센터,0,1
2023-02-01,4856. 올림픽공원 서1문 앞,0,1
2023-02-01,5751. 송파여성축구장,3,3
2023-02-01,630. 동대문구 보건소,1,1
2023-02-01,635. 시조사 앞,1,1
2023-02-01,1210. 롯데월드타워(잠실역2번출구 쪽),1,0
2023-02-02,329. 청계2가 사거리 옆,2,2
2023-02-02,335. 종로3가역 15번출구 앞,2,2
2023-02-02,1291. 서울체육고등학교 앞,2,2
2023-02-02,458. 광화문역 5번출구,0,1
2023-02-02,445.대한상공회의소,0,1
2023-02-02,2643.풍납중학교 측면,2,0
2023-02-02,113. 홍대입구역 2번출구 앞,0,2
2023-02-02,3410.종로3가역 8번출구,2,0
2023-02-02,3432.종로2가 사거리,2,2
2023-02-02,4768. 서울도시건축전시관,1,0
2023-02-02,4856. 올림픽공원 서1문 앞,0,2
2023-02-02,4796. 부산은행,1,0
2023-02-02,5751. 송파여성축구장,0,2
2023-02-02,1332. 석계역 5번출구 건너편,1,1
2023-02-02,1210. 롯데월드타워(잠실역2번출구 쪽),2,0
2023-02-03,2277. 길마중4교 하부,0,1
2023-02-03,835. 남영역 건너편,0,2
2023-02-03,1291. 서울체육고등학교 앞,2,2
2023-02-03,660. 동의보감타워,0,1
2023-02-03,2608. 송파구청,2,2
2023-02-03,2643.풍납중학교 측면,2,0
2023-02-03,2632.석촌고분역 2번 출구,1,1
2023-02-03,2538.사평리근린공원,1,0
2023-02-03,114. 홍대입구역 8번출구 앞,3,1
2023-02-03,487.신석초교앞 교차로 교통섬,1,1
2023-02-03,3010.홍대입구역 3번출구,0,2
2023-02-03,4776. 신세계면세점,2,2
2023-02-03,4856. 올림픽공원 서1문 앞,2,2
2023-02-03,4792. 퇴계로4가 교차로(중구청),3,2
2023-02-03,5751. 송파여성축구장,0,2
2023-02-03,4913. 레베쌍트 빌딩 앞,1,0
2023-02-03,633. 청량리 기업은행 앞,1,0
2023-02-03,636. 세종대왕기념관 교차로,1,1
2023-02-03,2306. 압구정역 2번 출구 옆,0,1
2023-02-03,390. 충무로역 1번출구,1,0
2023-02-04,3515. 서울숲 관리사무소,2,2
2023-02-04,314. 국립현대미술관,1,0
2023-02-04,329. 청계2가 사거리 옆,0,1
2023-02-04,1291. 서울체육고등학교 앞,2,2
2023-02-04,2608. 송파구청,2,0
2023-02-04,472.삼일교(시그니쳐 타워),1,0
2023-02-04,473.을지로4가역 9번출구,1,1
2023-02-04,2526.반포경남쇼핑 앞,0,2
2023-02-04,142. 아현역 4번출구 앞,0,1
2023-02-04,146. 마포역 2번출구 뒤,2,2
2023-02-04,487.신석초교앞 교차로 교통섬,1,1
2023-02-04,493.홍대입구역 6번출구,1,0
2023-02-04,3011.경의선(노고산동),0,1
2023-02-04,4856. 올림픽공원 서1문 앞,0,2
2023-02-04,4792. 퇴계로4가 교차로(중구청),2,2
2023-02-04,3628. 역삼1동 주민센터,2,0
2023-02-04,4222. 서울디자인고등학교 앞,0,1
2023-02-04,5751. 송파여성축구장,2,2
2023-02-04,818. 숙명여대 입구 교차로,1,0
2023-02-04,1332. 석계역 5번출구 건너편,1,1
2023-02-04,390. 충무로역 1번출구,2,2
2023-02-04,502. 뚝섬유원지역 1번출구 앞,3,3
2023-02-05,310. 청계광장 옆,1,0
2023-02-05,829. 한강대교 북단 교차로,1,1
2023-02-05,837. 한남나들목 입구,1,2
2023-02-05,322. 명동성당 앞,2,0
2023-02-05,398. 을지로3가역 3번출구,1,0
2023-02-05,329. 청계2가 사거리 옆,0,3
2023-02-05,336. 충무로역 6번출구 앞,0,2
2023-02-05,454. 종로2가 버스정류장 (종각방향),0,1
2023-02-05,455. 종로6가역 버스정류장(동대문 방향),1,0
2023-02-05,346. 맥스타일 앞,1,0
2023-02-05,2183. 동방1교,1,0
2023-02-05,2608. 송파구청,0,2
2023-02-05,2622. 올림픽공원역 3번출구,2,2
2023-02-05,440. 하늘공원 입구,0,1
2023-02-05,443.호암아트홀,2,0
2023-02-05,466.롯데호텔,1,1
2023-02-05,485.서울역5번출구,1,1
2023-02-05,3407.안국동사거리(신),2,0
2023-02-05,3410.종로3가역 8번출구,3,2
2023-02-05,3412.세운상가,0,1
2023-02-05,369. 광화문 시민열린마당,0,2
2023-02-05,2628.문정역 1번출구,0,1
2023-02-05,119. 서강나루 공원,0,2
2023-02-05,3114.충정로역 3번 출구,0,2
2023-02-05,3587.우성식품 앞,1,1
2023-02-05,4765. 동대문디자인플라자,2,3
2023-02-05,4775. 을지로지하쇼핑센터,1,1
2023-02-05,4791. 명동역9번 출구,0,2
2023-02-05,4792. 퇴계로4가 교차로(중구청),2,0
2023-02-05,4381. 더스페이스타워 앞,1,1
2023-02-05,4267. 서대문역 2번 출구,3,1
2023-02-05,4914. 도심공항타워 앞,1,1
2023-02-05,810. 이태원지하보도,1,0
2023-02-05,574. 아차산역4번출구,0,1
2023-02-05,1132. 등촌역 7번출구,1,0
2023-02-05,2140. 신림1교 교차로,0,1
2023-02-05,207. 여의나루역 1번출구 앞,2,0
2023-02-05,2262. 한신16차아파트 119동 앞,1,1
2023-02-05,2314. 청담나들목입구,1,1
2023-02-05,1210. 롯데월드타워(잠실역2번출구 쪽),2,0
2023-02-05,451. 청와대앞길,1,0
2023-02-06,1291. 서울체육고등학교 앞,2,2
2023-02-06,660. 동의보감타워,1,1
2023-02-06,3534. 건대입구역 5번출구 뒤,2,1
2023-02-06,2608. 송파구청,2,0
2023-02-06,2620. 송파나루역 4번 출구옆,1,0
2023-02-06,369. 광화문 시민열린마당,1,0
2023-02-06,114. 홍대입구역 8번출구 앞,1,1
2023-02-06,3010.홍대입구역 3번출구,1,2
2023-02-06,864.순천향대학병원(한남오거리),1,1
2023-02-06,4856. 올림픽공원 서1문 앞,0,2
2023-02-06,4585. 국회6문,1,1
2023-02-06,4892. 성내유수지 체육공원,1,0
2023-02-06,4634. 이태원역 3번 출구,0,1
2023-02-06,5751. 송파여성축구장,1,2
2023-02-06,4274. 신촌 파랑고래 입구,1,1
2023-02-06,809. 한남 유수지 복개주차장,1,1
2023-02-06,385. 종각역 5번출구,1,1
2023-02-06,565. 옥수역 3번출구,1,1
2023-02-06,588. 뚝섬 유원지역,0,1
2023-02-06,1332. 석계역 5번출구 건너편,1,1
2023-02-06,2025. 흑석역 1번출구,1,1
2023-02-06,420. 서울시 공공자전거 상암센터,1,1
2023-02-07,310. 청계광장 옆,1,0
2023-02-07,836. 현대자동차서비스 앞,1,0
2023-02-07,837. 한남나들목 입구,1,1
2023-02-07,326. 안국역 5번출구 앞,3,0
2023-02-07,328. 탑골공원 앞,0,1
2023-02-07,1291. 서울체육고등학교 앞,2,2
2023-02-07,3534. 건대입구역 5번출구 뒤,1,0
2023-02-07,2621. 한성백제역 2번 출구,2,0
